case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou
spleen_10,0.9759204278315273,0.9756997098193392,0.9529732399261034,0.952552409847751,-0.00022071801218814802,-0.0004208300783523633
spleen_12,0.9838937694709837,0.9838660719672885,0.9682981364642732,0.9682444851261925,-2.7697503695245373e-05,-5.365133808066247e-05
spleen_13,0.9781125984388422,0.9782068064446683,0.9571627920498483,0.9573432399182417,9.420800582604638e-05,0.0001804478683933297
spleen_14,0.9774897462189183,0.9774115140812641,0.9559706052866611,0.9558209656576732,-7.823213765412174e-05,-0.00014963962898795202
spleen_16,0.9636040157580379,0.9636292033487048,0.9297643279299606,0.9298112282422162,2.5187590666941873e-05,4.690031225562663e-05
spleen_17,0.9703417183521914,0.9702368357219903,0.9423919912529717,0.942194156267228,-0.00010488263020114186,-0.0001978349857436612
spleen_18,0.9698519591964311,0.9699075972121479,0.9414685276107464,0.9415733914619511,5.563801571684124e-05,0.0001048638512046729
spleen_19,0.9840157067524644,0.9839831044104271,0.9685343693721038,0.9684712022819688,-3.2602342037280074e-05,-6.316709013498567e-05
spleen_2,0.9802063178370772,0.9801747763586535,0.9611810064935065,0.9611203504644465,-3.1541478423768865e-05,-6.065602905991341e-05
spleen_20,0.9654499860685428,0.9653464012361206,0.9332076488015082,0.9330141048070953,-0.00010358483242223215,-0.00019354399441284809
spleen_21,0.9609750117483603,0.9613603761352209,0.9248815212475173,0.9255957061969172,0.00038536438686054275,0.0007141849493998986
spleen_22,0.9774077870161869,0.9773587797961217,0.9558138372325535,0.955720110324979,-4.90072200651781e-05,-9.372690757447621e-05
spleen_24,0.9554016226218153,0.9540651079221731,0.9146114366171595,0.9121649111703811,-0.0013365146996421329,-0.0024465254467783693
spleen_25,0.9706648516536213,0.970708451078723,0.9430017552718267,0.9430840582496275,4.3599425101681355e-05,8.230297780076334e-05
spleen_26,0.9856498332889903,0.9856382978723405,0.9717056945777619,0.9716832721552177,-1.1535416649777197e-05,-2.242242254424376e-05
spleen_27,0.9609006117274905,0.9609005198286348,0.9247436987957202,0.9247435285697244,-9.189885574745205e-08,-1.7022599574367803e-07
spleen_28,0.9786412023400145,0.9786779507826301,0.9581757209926224,0.9582461786001609,3.6748442615586185e-05,7.045760753854324e-05
spleen_29,0.9813374805598756,0.9812779443081923,0.9633587786259542,0.963244035824681,-5.9536251683312e-05,-0.00011474280127321546
spleen_3,0.9626967511167241,0.9627709148831614,0.9280764830854715,0.9282143440614279,7.416376643720746e-05,0.00013786097595636093
spleen_31,0.9764016544117647,0.9763964598517793,0.9538913956046423,0.9538814800409876,-5.194559985488567e-06,-9.915563654705473e-06
spleen_32,0.9742495272492901,0.9743736212983951,0.9497919358854284,0.9500278478912628,0.00012409404910496136,0.0002359120058343933
spleen_33,0.9820994986177828,0.9823206451782384,0.9648285832300703,0.9652555498193082,0.00022114656045557624,0.0004269665892379093
spleen_38,0.9784112268919831,0.9780548264800233,0.9577349053233297,0.9570521509595491,-0.0003564004119598341,-0.0006827543637806244
spleen_40,0.9771106195789945,0.9768461818542915,0.9552456387579571,0.9547402986040342,-0.00026443772470297056,-0.0005053401539228952
spleen_41,0.9715957996212773,0.9714427026213363,0.9447606293940408,0.9444711588718614,-0.0001530969999410381,-0.0002894705221794247
spleen_44,0.9316429052998536,0.9371939812932086,0.8720332461135909,0.8818109464919799,0.005551075993355026,0.009777700378388987
spleen_45,0.9662391567526237,0.9665365969019747,0.9346834551378005,0.9352402745995423,0.0002974401493509582,0.0005568194617417976
spleen_46,0.9705255759811996,0.9704229680194912,0.9427388901926482,0.9425452762410327,-0.0001026079617083564,-0.0001936139516155455
spleen_47,0.9735024080520933,0.9734250407348127,0.948372812258382,0.9482259740989409,-7.736731728058555e-05,-0.00014683815944105394
spleen_49,0.9805000288035025,0.9805840613710618,0.9617460093233507,0.9619077201106907,8.4032567559289e-05,0.0001617107873399526
spleen_52,0.9772478639580131,0.9769733882409939,0.9555080155979203,0.9549833572375721,-0.000274475717019218,-0.0005246583603482069
spleen_53,0.9647914596979239,0.9642337546568442,0.9319778789850358,0.9309376116397649,-0.0005577050410796591,-0.001040267345270962
spleen_56,0.9443342477315889,0.9440731918122984,0.8945390581274486,0.8940706727889798,-0.0002610559192904871,-0.00046838533846882413
spleen_59,0.9739940006431648,0.9738291575832254,0.9493063405610934,0.9489932059360824,-0.00016484305993935688,-0.0003131346250110356
spleen_6,0.9778270509977827,0.9776761553414226,0.9566160520607375,0.9563272542742406,-0.00015089565636006164,-0.00028879778649693044
spleen_60,0.9759052133707752,0.9760422802018498,0.952944225585735,0.9532056464150239,0.00013706683107461703,0.0002614208292889275
spleen_61,0.9774321913735535,0.977442921539404,0.9558605142151688,0.9558810379669868,1.073016585051434e-05,2.0523751817935754e-05
spleen_62,0.9758395568524655,0.9757305147997726,0.9528190269226126,0.9526111330057185,-0.00010904205269290923,-0.0002078939168940197
spleen_63,0.9793657740818844,0.9795329768554198,0.9595658750331363,0.9598869484650062,0.00016720277353543533,0.00032107343186993376
spleen_8,0.9775714751403791,0.9775058633461692,0.9561269578962495,0.9560014363946494,-6.561179420994101e-05,-0.0001255215016000566
spleen_9,0.9778532127968331,0.9778556749637419,0.9566661315567685,0.9566708448232639,2.4621669088009668e-06,4.71326649542636e-06
