case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou
liver_0,0.8423471238469412,0.8527134375185669,0.7494049934783495,0.7622008455235324,0.01036631367162566,0.012795852045182854
liver_1,0.8551357648340505,0.8536521385099405,0.7624865184353289,0.7608133598685463,-0.0014836263241100323,-0.0016731585667826288
liver_10,0.9364907059920022,0.9357720820946339,0.8834354865658824,0.8822757487051721,-0.0007186238973683201,-0.0011597378607103304
liver_100,0.9317153134535592,0.9312454186992802,0.8726715728630404,0.8718979537956134,-0.00046989475427894334,-0.0007736190674270116
liver_101,0.9357917652926826,0.9359649870937243,0.8815632698021765,0.8818508158548575,0.00017322180104173412,0.0002875460526809981
liver_102,0.8729735734494041,0.8754234894230614,0.7902721104493786,0.7935274124471674,0.0024499159736572906,0.0032553019977887843
liver_103,0.9060994828923647,0.9101398168440057,0.8351541702013774,0.8411494844762082,0.00404033395164094,0.005995314274830799
liver_104,0.5012126217316636,0.5031672151710525,0.4746791280559364,0.47597330995679404,0.001954593439388863,0.0012941819008576716
liver_105,0.9842644731689094,0.984179726629353,0.9690164882187736,0.968852219658596,-8.474653955636846e-05,-0.00016426856017759395
liver_106,0.976718363983673,0.9764447385746743,0.9544961324490034,0.9539736400894965,-0.00027362540899866783,-0.0005224923595069653
liver_107,0.8436261066612749,0.8413893078496397,0.7522324543860262,0.7495472601607653,-0.002236798811635188,-0.002685194225260812
liver_108,0.8624803741386693,0.8540669710087598,0.7615916734095245,0.7494185431983875,-0.008413403129909458,-0.012173130211136973
liver_109,0.8977693475193131,0.8933680443331267,0.8229169311227664,0.8165230973002818,-0.004401303186186478,-0.006393833822484596
liver_11,0.7650476334928157,0.6006607095710921,0.6637107603133569,0.5341212174950191,-0.1643869239217236,-0.1295895428183378
liver_110,0.8461611975948072,0.8530995059260497,0.7547545052995974,0.763378229993767,0.0069383083312424265,0.00862372469416961
liver_111,0.8473674861231626,0.8410276712940312,0.7605769556669608,0.7530201136694519,-0.006339814829131374,-0.007556841997508945
liver_112,0.8294032953796084,0.8262900143846066,0.7388163138821245,0.7352898532276517,-0.0031132809950018547,-0.0035264606544728183
liver_113,0.8468344853473082,0.8444036928517672,0.7565210054188178,0.7533883691876981,-0.002430792495541012,-0.003132636231119701
liver_114,0.9824545933334317,0.9822873717088194,0.9655142531200719,0.9651912970345636,-0.000167221624612246,-0.0003229560855082525
liver_115,0.9793752942739375,0.979348089873702,0.9595841534888375,0.9595319228398986,-2.7204400235514292e-05,-5.223064893888907e-05
liver_116,0.4537071768100641,0.453743940732006,0.4152600561002781,0.4153216545918428,3.676392194190692e-05,6.15984915646739e-05
liver_117,0.9192379777119497,0.9183377008858907,0.8522448925502366,0.8507326646732492,-0.0009002768260589766,-0.0015122278769874598
liver_118,0.826636840059401,0.8375397000722757,0.7192519094852396,0.7332553750709216,0.010902860012874771,0.014003465585681996
liver_119,0.9775888390992457,0.9773496411704999,0.9561601794702439,0.9557026335854903,-0.00023919792874571577,-0.00045754588475355185
liver_12,0.918353609790795,0.8539106927150537,0.8537674913800781,0.7640757135603721,-0.06444291707574124,-0.08969177781970605
liver_120,0.8510927030823704,0.841885978855865,0.76062021876623,0.74929500933014,-0.00920672422650537,-0.011325209436089945
liver_121,0.5007376087640243,0.5316655017678172,0.4872247697587266,0.5034683063099072,0.03092789300379295,0.01624353655118066
liver_122,0.8650008489345633,0.8767395299416666,0.7768570744643026,0.7925909122043748,0.011738681007103291,0.0157338377400722
liver_123,0.8759058728622513,0.8732249093977417,0.788751350346486,0.7848608173579308,-0.0026809634645096336,-0.0038905329885552398
liver_124,0.9315681738871305,0.9318683392163756,0.8748534446473405,0.875310574792983,0.000300165329245039,0.00045713014564252585
liver_125,0.9185463297227181,0.9167192762811771,0.8562556929969601,0.853494319155151,-0.0018270534415409934,-0.0027613738418091893
liver_126,0.8044404061256136,0.8169869886693382,0.7107867942795011,0.7242737871635023,0.012546582543724538,0.013486992884001237
liver_127,0.4919976716713883,0.49189909686657174,0.48424745737890545,0.48405650711606596,-9.857480481656467e-05,-0.00019095026283949545
liver_128,0.9011176921790373,0.8996017934901159,0.8266226612956913,0.8242085262718464,-0.0015158986889213244,-0.00241413502384491
liver_129,0.9485716981902625,0.9489584470360155,0.9024552298237725,0.9031541917747588,0.00038674884575296,0.0006989619509862877
liver_13,0.7703976069895546,0.8096736778592595,0.6689961939767494,0.7100372401039423,0.03927607086970486,0.04104104612719295
liver_130,0.7139128862527976,0.7462291658054383,0.5965478902448935,0.6285219896653902,0.032316279552640714,0.03197409942049667
liver_14,0.8903918268657633,0.8446066875605593,0.8148239166891077,0.7558561146402789,-0.045785139305204,-0.05896780204882879
liver_15,0.6983950860100573,0.6000079358315556,0.6092937595214961,0.5386597021214182,-0.09838715017850164,-0.07063405740007789
liver_16,0.9101816898212609,0.9099847746717556,0.8385477683424861,0.8381613868679274,-0.00019691514950526123,-0.00038638147455871685
liver_17,0.9217688445167083,0.9192845972828716,0.8599574286358056,0.856095929204743,-0.0024842472338366672,-0.0038614994310626205
liver_18,0.8904169659112343,0.8941210138357853,0.8135345665656151,0.8186775441297813,0.003704047924551035,0.005142977564166262
liver_19,0.8239430745639662,0.8150903673000665,0.727023144240103,0.717035978288028,-0.00885270726389975,-0.009987165952074939
liver_2,0.8814121712095364,0.8852924971406566,0.7988754333480368,0.8042047067146831,0.0038803259311201987,0.005329273366646348
liver_20,0.7678667658324527,0.6758342166475021,0.6666036375898539,0.5868477252658203,-0.09203254918495063,-0.07975591232403356
liver_21,0.8723681219810673,0.8850375496305207,0.7869006471735047,0.8041071455499368,0.012669427649453446,0.017206498376432067
liver_22,0.7980759526864014,0.7922342115657499,0.6921507896655545,0.6855326971840636,-0.0058417411206515,-0.0066180924814909226
liver_23,0.9113544531703037,0.9093377795731764,0.8402720685639108,0.8371197176025542,-0.0020166735971273164,-0.003152350961356576
liver_24,0.8126993914055596,0.9027550807800914,0.7123090048106046,0.8283961721302396,0.09005568937453179,0.11608716731963509
liver_25,0.7887560550110495,0.8356812885332545,0.687942589512885,0.739971107111534,0.04692523352220501,0.052028517598649016
liver_26,0.926101547545942,0.9241100479748914,0.8659149391123855,0.8626889344058871,-0.0019914995710506034,-0.0032260047064983643
liver_27,0.8920564578559989,0.8921909832753575,0.8125832512776168,0.8127063407887505,0.00013452541935865536,0.00012308951113371158
liver_28,0.8246705705098194,0.8765540399160827,0.7280751693977159,0.7928301001247935,0.051883469406263316,0.06475493072707761
liver_29,0.656429428071744,0.6836910675573326,0.5757039865740794,0.5963317686957907,0.027261639485588574,0.020627782121711347
liver_3,0.8887290868528606,0.8846533365371456,0.8109966222457567,0.8053815020956966,-0.004075750315714943,-0.00561512015006016
liver_30,0.6150907333327491,0.652472677311613,0.5441137479089446,0.5698100343800254,0.03738194397886385,0.025696286471080798
liver_31,0.8905805804641959,0.8856010862834842,0.8110257313920388,0.8038010593182625,-0.004979494180711641,-0.007224672073776306
liver_32,0.9750655577673991,0.9750947303647723,0.9513443178311258,0.9513998603127649,2.9172597373228193e-05,5.554248163908149e-05
liver_33,0.8474121793321491,0.8497921379987573,0.7418955357661831,0.7453926836449785,0.0023799586666082284,0.0034971478787954036
liver_34,0.4716995710432528,0.47180999228343196,0.44643118308150337,0.44662904010918913,0.00011042124017918153,0.00019785702768576607
liver_35,0.6239735772439438,0.7720252080725774,0.5455986368613539,0.6678945796612471,0.1480516308286336,0.1222959427998932
liver_36,0.9037951436899373,0.9047795102527744,0.8309382136303155,0.8323633959572871,0.000984366562837069,0.0014251823269716413
liver_37,0.8815081391469507,0.8796580002684962,0.8006342647193381,0.7981192617573571,-0.0018501388784545325,-0.0025150029619809278
liver_38,0.9752502121461973,0.975413095967986,0.9516959395412266,0.9520062106293606,0.0001628838217886397,0.0003102710881340842
liver_39,0.48706048201446,0.4870973190898914,0.4747737939233905,0.4748438029467623,3.683707543139514e-05,7.0009023371842e-05
liver_4,0.8560691911066243,0.8612514123679658,0.7503855631650563,0.7581657617362292,0.005182221261341491,0.007780198571172847
liver_40,0.8960775650437434,0.895423088113333,0.8192684704348461,0.8182761929550613,-0.0006544769304103193,-0.0009922774797848088
liver_41,0.4841754729036737,0.48414802420379505,0.469321879311545,0.46927030128800457,-2.7448699878640515e-05,-5.157802354044394e-05
liver_42,0.8455702923762247,0.7574272598934741,0.7518721639492916,0.6568296444486922,-0.08814303248275057,-0.09504251950059939
liver_43,0.43852291887516276,0.379128336088477,0.38137961267940956,0.30118193945674687,-0.059394582786685746,-0.08019767322266269
liver_44,0.7891115430536499,0.8017455147384112,0.6833966789445758,0.6974607666534175,0.012633971684761214,0.01406408770884171
liver_45,0.4670636076696725,0.4684004106009865,0.4381982675525136,0.44055753610581677,0.0013368029313140517,0.002359268553303151
liver_46,0.5789914690396822,0.7050605969771508,0.42392962865649375,0.5599121560008986,0.1260691279374686,0.13598252734440486
liver_47,0.9676377393635868,0.96750736809537,0.937304448505386,0.9370598280305571,-0.00013037126821680012,-0.0002446204748288716
liver_48,0.8999652861808161,0.9009972318236356,0.8200124237088429,0.8216606986039584,0.0010319456428194984,0.0016482748951155424
liver_49,0.8303693423731311,0.8335347130593305,0.7259331244850308,0.7298536251381866,0.0031653706861993758,0.003920500653155856
liver_5,0.8779383124700135,0.8891697697555636,0.7958907193955305,0.811324687188117,0.011231457285550084,0.015433967792586545
liver_50,0.8479051564119862,0.8531271239767005,0.7457604396982945,0.7526040071440618,0.00522196756471438,0.006843567445767307
liver_51,0.892239345791368,0.8926890216236207,0.8067603635708698,0.8074544991162068,0.00044967583225274943,0.0006941355453370379
liver_52,0.887564530521183,0.8900880212009177,0.8034826211446036,0.8071585813536768,0.0025234906797346746,0.003675960209073237
liver_53,0.7856986154364742,0.7954061342974034,0.688755382976321,0.6990865829068171,0.009707518860929132,0.010331199930496138
liver_54,0.6070010644140525,0.7871840855960566,0.5408777976556198,0.6880697211511317,0.18018302118200402,0.1471919234955119
liver_55,0.5581688315986797,0.6904158597640441,0.5042889724226987,0.5948496410494386,0.13224702816536438,0.09056066862673995
liver_56,0.9533824663883368,0.9553241231926657,0.9110712996226367,0.914567135469672,0.001941656804328895,0.003495835847035389
liver_57,0.898725199552634,0.9052498547970761,0.8212807405502112,0.8311711538275292,0.0065246552444421235,0.009890413277317989
liver_58,0.6928145842979101,0.774080823850199,0.596106172701794,0.6695040742762848,0.08126623955228895,0.07339790157449078
liver_59,0.5303768295810065,0.4890879188670315,0.5002076560889797,0.47864195908468143,-0.041288910713975,-0.021565697004298223
liver_6,0.919920739574043,0.9199152791607423,0.856181192292734,0.8562058827146091,-5.46041330062863e-06,2.469042187502879e-05
liver_60,0.8721648506383293,0.8757844983603629,0.7830541463109704,0.7880569113529405,0.003619647722033603,0.00500276504197017
liver_61,0.8566602936698267,0.8629850430424706,0.7622373211596055,0.7704903845466018,0.006324749372643934,0.008253063386996273
liver_62,0.7945566079720384,0.8138546992532649,0.6982852986573556,0.7189663288862744,0.019298091281226504,0.020681030228918873
liver_63,0.7400549798319017,0.7393291167886578,0.6423679966459758,0.64164443660015,-0.0007258630432439572,-0.0007235600458257441
liver_64,0.9679287965691677,0.9676051820942427,0.9379465480659015,0.9373487822391708,-0.0003236144749250158,-0.0005977658267306563
