case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou
Patient_01,0.9422063197226227,0.9427302209177479,0.8920490552779495,0.892951157390654,0.0005239011951252426,0.0009021021127044726
Patient_02,0.936156729763849,0.9362032640399469,0.8812355641307736,0.8812961428998085,4.653427609790928e-05,6.057876903486914e-05
Patient_03,0.917523460351072,0.9180267676161967,0.8508523660845202,0.8515834860349002,0.0005033072651247084,0.0007311199503799992
Patient_04,0.9442227296261947,0.9441070771256507,0.8951974385809316,0.8950003674869169,-0.00011565250054401677,-0.00019707109401467804
Patient_05,0.8681326451474223,0.8701474553468576,0.7730232965170907,0.7758458377553541,0.0020148101994352796,0.0028225412382634207
Patient_06,0.8981940944869697,0.898091497651016,0.816875483670983,0.8167107662688686,-0.0001025968359537055,-0.00016471740211432273
Patient_07,0.9279129886765478,0.9287143636700439,0.8676313348770539,0.8689949810390929,0.0008013749934960845,0.0013636461620389895
Patient_08,0.9189920857824287,0.9185164462834886,0.8560742426952852,0.8553767648650424,-0.00047563949894013913,-0.0006974778302427653
Patient_09,0.9078974113861192,0.9079781814306267,0.8331719213845727,0.8332921511166184,8.077004450746106e-05,0.00012022973204561804
Patient_10,0.9206251545385025,0.9206712874557532,0.8539341565418485,0.8540210892600792,4.613291725075186e-05,8.693271823079218e-05
Patient_11,0.919330846891498,0.919924886465894,0.8527888918665856,0.8537449710469638,0.0005940395743959659,0.0009560791803782109
Patient_12,0.9270447136946364,0.9268983640055146,0.8649758527747237,0.8647256260164645,-0.00014634968912174973,-0.0002502267582591422
Patient_13,0.9206549367233066,0.9214733902599512,0.8562551231025035,0.8576379048863654,0.0008184535366446699,0.001382781783861864
Patient_14,0.8930596789772481,0.8936595717489519,0.8083799601871494,0.8093111709874562,0.0005998927717038027,0.0009312108003067809
Patient_15,0.9117646137440372,0.913060889033344,0.8418056266846303,0.843714538500276,0.0012962752893068696,0.0019089118156456752
Patient_16,0.9263199680088519,0.9263934322356576,0.8643522364727275,0.8644685168147187,7.346422680576392e-05,0.00011628034199118176
Patient_17,0.9223371417140829,0.9226168653709366,0.8574895725408934,0.8579391526669639,0.00027972365685369205,0.00044958012607043685
Patient_18,0.9239171135853594,0.924160985016276,0.8602618074820748,0.8606817912684783,0.0002438714309165313,0.00041998378640351053
Patient_19,0.9070661451151976,0.9070639982506441,0.8323674578755658,0.8323818819848444,-2.146864553465022e-06,1.4424109278654562e-05
Patient_20,0.8847693601379495,0.878556293252414,0.8005199293267802,0.792752605461038,-0.006213066885535468,-0.007767323865742193
Patient_21,0.9328282629864024,0.9327967634292984,0.8770736652599118,0.877042801665308,-3.149955710401997e-05,-3.0863594603802724e-05
Patient_22,0.894894210079412,0.8949050765375347,0.8179796827363778,0.8179839792085468,1.0866458122760214e-05,4.2964721690408325e-06
Patient_23,0.9227741446140456,0.9228149198422707,0.8592271131008784,0.8592929018941473,4.077522822509838e-05,6.578879326890608e-05
Patient_24,0.890251652106922,0.8901210507427586,0.8050688315075085,0.8048698706875044,-0.0001306013641634296,-0.00019896082000414594
Patient_25,0.8933841875425806,0.8941562884468188,0.8136100315736883,0.8146691321024174,0.0007721009042381821,0.001059100528729151
Patient_26,0.9271505877960027,0.927029539293268,0.8643207498142332,0.8641126171027652,-0.00012104850273464418,-0.00020813271146802315
Patient_27,0.9194509553468879,0.9191516017556036,0.8531662637607447,0.8526456818927666,-0.0002993535912843015,-0.0005205818679780982
Patient_28,0.9219538163672547,0.9216404245377754,0.8555523897567675,0.855030005182451,-0.00031339182947931477,-0.0005223845743165256
Patient_29,0.9016167679994269,0.9016116054254888,0.8220172065379451,0.8220036407129188,-5.16257393812225e-06,-1.3565825026318201e-05
Patient_30,0.9069868361448474,0.9074373864335881,0.8323622557357522,0.8330644345007476,0.0004505502887406365,0.0007021787649954536
Patient_31,0.92942950136836,0.9295108062316018,0.870608468683746,0.8707450300211275,8.130486324176012e-05,0.00013656133738149112
Patient_32,0.9276437058036404,0.9273084326757233,0.8667920496722942,0.8662332585066204,-0.00033527312791714614,-0.0005587911656738109
Patient_33,0.903606200334244,0.903366591603513,0.8282337208773795,0.8278956411006211,-0.0002396087307310335,-0.000338079776758371
Patient_34,0.8687149628883962,0.8697353857909418,0.7901373692584273,0.7911811451330705,0.0010204229025455591,0.0010437758746432158
Patient_35,0.9244699180397977,0.9235327662076901,0.8623433339664577,0.8605777503765523,-0.00093715183210763,-0.0017655835899054173
Patient_36,0.9134272136016128,0.9129774453525342,0.8424512703355189,0.841733250025515,-0.00044976824907860813,-0.0007180203100038973
Patient_37,0.9347246181515424,0.9344357739904094,0.878529301319124,0.8780356333333157,-0.00028884416113295064,-0.0004936679858082993
Patient_38,0.9145389031965874,0.9149173385855318,0.8475509205743919,0.8481318970103144,0.0003784353889444425,0.0005809764359225866
Patient_39,0.9251327843531881,0.9241121640840648,0.8635941324805462,0.8620496264142185,-0.0010206202691233068,-0.0015445060663277221
Patient_40,0.9368868545500063,0.9366865962637569,0.883015736944542,0.8826863260109356,-0.00020025828624936626,-0.00032941093360649987
