case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
T1_in_1,0.9462240908773776,0.9425193038140222,0.8987953314091145,0.8924204722329432,-0.003704787063355419,-0.00637485917617131,1
T1_in_10,0.9404859884405654,0.9408457282935605,0.8887807699913434,0.8893662612246914,0.00035973985299508904,0.0005854912333480566,10
T1_in_13,0.9415192260903864,0.9412770362319143,0.8899618527135383,0.8894303340818717,-0.00024218985847213048,-0.000531518631666672,13
T1_in_15,0.9179658722826934,0.9372383299994621,0.8534254881179435,0.8829601326403085,0.019272457716768665,0.029534644522364983,15
T1_in_19,0.9339836222811204,0.9352009264851152,0.8766795658799292,0.8787919759515037,0.0012173042039947957,0.0021124100715744776,19
T1_in_2,0.9480768015081045,0.9461436196929491,0.901414416417819,0.8979817383258357,-0.0019331818151553382,-0.003432678091983332,2
T1_in_20,0.9249269357747048,0.926068838448258,0.8607606303879839,0.8627453715857687,0.0011419026735532967,0.0019847411977848006,20
T1_in_21,0.9038081406904918,0.902181592917936,0.8261758422326719,0.8235774809893619,-0.0016265477725557753,-0.0025983612433100323,21
T1_in_22,0.8986417561445392,0.8975934589370711,0.8168072226907499,0.8149842407270116,-0.0010482972074681296,-0.0018229819637383127,22
T1_in_3,0.936702219514597,0.9373876624238837,0.8824350761196305,0.8828494088957205,0.0006854429092867376,0.0004143327760900428,3
T1_in_31,0.9195467038148015,0.9192248133805166,0.8513931699163733,0.8508561438683218,-0.0003218904342848772,-0.0005370260480515032,31
T1_in_32,0.9341630657862402,0.934598474524146,0.8770417607380973,0.8777512511871796,0.000435408737905818,0.0007094904490823062,32
T1_in_33,0.911737387202051,0.9286055195629417,0.8396909081450996,0.8670081159312751,0.016868132360890686,0.027317207786175524,33
T1_in_34,0.9433124384794151,0.9426497257035483,0.8941141520145962,0.8931796500502074,-0.000662712775866825,-0.000934501964388823,34
T1_in_36,0.8183623177646249,0.8737070014136362,0.7059054573875683,0.7797155876272631,0.05534468364901135,0.07381013023969485,36
T1_in_37,0.9344348346465878,0.9359756001350843,0.877362696130027,0.8800209676567495,0.001540765488496465,0.002658271526722489,37
