case_id,argmax_foreground_mean_dice,rankseg_foreground_mean_dice,argmax_foreground_mean_iou,rankseg_foreground_mean_iou,delta_dice,delta_iou,cluster_id
patient001_frame01,0.9270615769341792,0.9268442446905159,0.8663970549377513,0.8659772488384027,-0.00021733224366338177,-0.000419806099348663,patient001
patient001_frame12,0.9227005918025286,0.9221146022725845,0.8587877930942888,0.8578357972972981,-0.0005859895299441531,-0.0009519957969906789,patient001
patient002_frame01,0.9388504476146627,0.9375511201234904,0.886209952243601,0.883893172414728,-0.0012993274911723418,-0.002316779828873017,patient002
patient002_frame12,0.9010072368613212,0.8984191299737945,0.822987356276562,0.819108312344015,-0.0025881068875267532,-0.0038790439325470105,patient002
patient003_frame01,0.9502600717840378,0.9505834990547041,0.9061264133888977,0.9066951581183155,0.00032342727066625443,0.0005687447294178138,patient003
patient003_frame15,0.9491454845802538,0.9491836448838221,0.9039265182988396,0.9039826987704912,3.816030356829092e-05,5.618047165156792e-05,patient003
patient004_frame01,0.9394310407660145,0.9404479236278678,0.8872914696489148,0.8890176961873043,0.0010168828618533077,0.001726226538389497,patient004
patient004_frame15,0.8819006386304058,0.8826767334887213,0.8011362575699676,0.8023435506792068,0.0007760948583155347,0.0012072931092391714,patient004
patient005_frame01,0.9463866069674799,0.9467363260790709,0.8993009408271782,0.8998934015165058,0.0003497191115909848,0.0005924606893276119,patient005
patient005_frame13,0.9140196265680308,0.9098508540771979,0.8457275456734603,0.8394999231198726,-0.004168772490832917,-0.006227622553587664,patient005
patient006_frame01,0.9130377265843755,0.9045312882675997,0.8433809186444224,0.8288593462957373,-0.008506438316775888,-0.014521572348685119,patient006
patient006_frame16,0.8713242873479805,0.8610268272212013,0.7785019936117608,0.760908036720498,-0.010297460126779234,-0.017593956891262752,patient006
patient007_frame01,0.9548536241480475,0.9557046568501488,0.9149183654855805,0.9164205102333637,0.0008510327021012953,0.0015021447477832073,patient007
patient007_frame07,0.9496564281708633,0.9446941242236356,0.9052077121086907,0.8961732019187533,-0.004962303947227631,-0.009034510189937395,patient007
patient008_frame01,0.9478306476832495,0.9477427467354342,0.9021861228083332,0.9020404995092862,-8.790094781530033e-05,-0.000145623299046993,patient008
patient008_frame13,0.9290914698841742,0.9290680719970698,0.8689409446791948,0.8688923481115151,-2.339788710448154e-05,-4.8596567679748404e-05,patient008
patient009_frame01,0.9372219137286922,0.9359360771294195,0.8832872907897295,0.8811276049442357,-0.0012858365992727272,-0.002159685845493753,patient009
patient009_frame13,0.8721874465846735,0.8821932781471463,0.7886617693637271,0.801689407965369,0.010005831562472811,0.013027638601641911,patient009
patient010_frame01,0.9457207670205237,0.9454437843625506,0.898812349884059,0.8983409021076488,-0.0002769826579730461,-0.0004714477764101721,patient010
patient010_frame13,0.9449850795055701,0.9435606763794526,0.8977738620482966,0.8951095147186021,-0.0014244031261174683,-0.0026643473296944498,patient010
patient011_frame01,0.9418668655803378,0.9418134761646347,0.8917667831727197,0.891707807763107,-5.338941570309785e-05,-5.8975409612749274e-05,patient011
patient011_frame08,0.9220049697351924,0.921324045566703,0.8569339223349012,0.8557138184713128,-0.0006809241684894163,-0.0012201038635883954,patient011
patient012_frame01,0.9388900058871487,0.9383640889071773,0.8867472508828564,0.8858191546729989,-0.000525916979971397,-0.0009280962098575651,patient012
patient012_frame13,0.8457300985369401,0.8549544612757098,0.7451441678827421,0.7565747689778188,0.009224362738769698,0.011430601095076764,patient012
patient013_frame01,0.9506191208541601,0.9507343405247907,0.906735980245371,0.9069340299070179,0.00011521967063055083,0.00019804966164682636,patient013
patient013_frame14,0.9420545890597477,0.942493026369244,0.8911730574315113,0.8919406259374307,0.0004384373094963312,0.0007675685059194137,patient013
patient014_frame01,0.9017262937531146,0.9072789551394979,0.8249982013319381,0.8336435280335844,0.0055526613863832175,0.008645326701646305,patient014
patient014_frame13,0.9329629338232935,0.9356830936225825,0.8768898918265625,0.8813697624509672,0.002720159799288968,0.0044798706244046915,patient014
patient015_frame01,0.9525043863004395,0.9524192033579576,0.9108170098576925,0.9106978532311184,-8.51829424819428e-05,-0.00011915662657413506,patient015
patient015_frame10,0.88506485206779,0.8862904202931537,0.796976204840138,0.7988165302539795,0.0012255682253637934,0.0018403254138414926,patient015
patient016_frame01,0.9310711024932825,0.9335439155421573,0.8741429406567928,0.8779450780607814,0.0024728130488748112,0.0038021374039886036,patient016
patient016_frame12,0.9237412763569043,0.9097633756340168,0.8606494618271746,0.8378112560923056,-0.013977900722887515,-0.022838205734869055,patient016
patient017_frame01,0.936533774635207,0.9369170198647533,0.8846597767641287,0.8851512733229437,0.0003832452295462474,0.0004914965588150855,patient017
patient017_frame09,0.9466565813800951,0.9466576572884692,0.9003907283581961,0.9003911407329809,1.0759083740596864e-06,4.1237478476396916e-07,patient017
patient018_frame01,0.9414687747032374,0.9409287453098704,0.8917595122801995,0.8907508451836255,-0.0005400293933670586,-0.0010086670965739897,patient018
patient018_frame10,0.9464944030810846,0.9452174291052496,0.8995920756747916,0.8973386484392742,-0.0012769739758349274,-0.002253427235517358,patient018
patient019_frame01,0.9623702695504859,0.9642092329013153,0.9283425578653929,0.9316182376206564,0.0018389633508294478,0.0032756797552635497,patient019
patient019_frame11,0.9338245808819533,0.9544908799933363,0.8799860639911582,0.9139978411945376,0.020666299111382957,0.034011777203379445,patient019
patient020_frame01,0.955657334240893,0.9562441752424274,0.9162776172918062,0.9173759599334265,0.0005868410015343883,0.0010983426416202313,patient020
patient020_frame11,0.9503058962337251,0.9511526528279939,0.906840528776763,0.9082962623015315,0.0008467565942688049,0.0014557335247684655,patient020
patient021_frame01,0.9442685728100827,0.9443503388867001,0.8948584745792347,0.894985728603824,8.176607661736224e-05,0.00012725402458924062,patient021
patient021_frame13,0.9137378134754929,0.9109073271053867,0.8412356363891408,0.8364762597800747,-0.002830486370106189,-0.004759376609066113,patient021
patient022_frame01,0.9334184761152816,0.9348060104416497,0.8768795142916352,0.8791815256999792,0.0013875343263680673,0.0023020114083439625,patient022
patient022_frame11,0.9225683578260604,0.9215147894249021,0.8564600751313863,0.8546770113003879,-0.0010535684011583335,-0.0017830638309984659,patient022
patient023_frame01,0.9345760822604058,0.9340253661828665,0.8777610103284091,0.8767983478510151,-0.000550716077539315,-0.0009626624773940717,patient023
patient023_frame09,0.901947001119038,0.9035311236190388,0.8224372756963577,0.8250073457389999,0.0015841225000007286,0.002570070042642203,patient023
patient024_frame01,0.9379579797055314,0.938336473332375,0.8837890743761275,0.8844602843156126,0.0003784936268436123,0.0006712099394851068,patient024
